ampl.tab 2 12
load_zone	plant_code	size_mw	fuel	heat_rate	start_year	max_age	overnight_cost	fixed_o_m	variable_o_m	forced_outage_rate	scheduled_outage_rate	baseload	cogen
Other_Bay_Area	7232-GT	8.1078130377917	Gas	15104.6451274754	1982	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_Bay_Area	7450-GT	46	Gas	15786.4138349872	1986	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_Bay_Area	7451-GT	19.5	Gas	9207.48692025543	1986	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_Bay_Area	cogen-CC-NG	1285.35	Gas	4265	2007	25	563.67373635	16.44398767	0.33	0.0456621	0.293905489158649	1	1
Other_Bay_Area	cogen-GT-NG	176.95	Gas	4265	2007	25	696.209016375	10.10878727	0.012621528	0.005	0.430295593353351	1	1
Other_Bay_Area	cogen-IC-NG	25.54	Gas	4265	2007	30	750	30	1	0.05	0.677038571988053	1	1
Other_Bay_Area	cogen-ST-NG	4	Gas	4265	2007	45	750	25	1	0.01	0.535559937272266	1	1
Other_SCE	10438-ST	30	Gas	10875.7445794615	1985	45	1000	25	1	0.01	0	0	0
Other_SCE	10873-ST	88.0853056156373	Geothermal	21017.0036916378	1988	45	1880	154.92	0	0.05	0	1	0
Other_SCE	10874-ST	90.3476295762237	Geothermal	21016.9991835323	1989	45	1880	154.92	0	0.05	0	1	0
Other_SCE	10875-ST	79.0190134583033	Geothermal	21016.9980242537	1989	45	1880	154.92	0	0.05	0	1	0
Other_SCE	329-CC	608	Gas	10395.1980814406	1978	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Other_SCE	330-ST	650	Gas	10408.8770556519	1965	45	1000	25	1	0.01	0	0	0
Other_SCE	331-ST	640	Gas	11673.4883337579	1963	45	1000	25	1	0.01	0	0	0
Other_SCE	345-GT	560	Gas	10339.6891705501	1970	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	350-ST	1516	Gas	10516.3117687757	1973	45	1000	25	1	0.01	0	0	0
Other_SCE	356-ST	1321.99	Gas	10703.6078651773	1967	45	1000	25	1	0.01	0	0	0
Other_SCE	420-ST	72	Gas	12395.3069306931	1965	45	1000	25	1	0.01	0	0	0
Other_SCE	422-GT	155	Gas	15609.1370558376	2004	25	928.2786885	10.10878727	0.012621528	0.005	0	0	0
Other_SCE	50541-CC	103.8	Gas	10828.9516414205	2001	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
Other_SCE	55295-CC	519.52	Gas	11324.1951305214	2003	25	751.5649818	16.44398767	0.33	0.0456621	0	0	0
