ampl.tab 3 3
load_zone	site	date	avg_flow	min_flow	max_flow
Fresno	A_G_Wi_293	120402220	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	240402021	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	200402021	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	160402021	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	120402021	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	240402200	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	200402260	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	160402230	2.68103448275862	2.68103448275862	2.68103448275862
Fresno	A_G_Wi_293	240404271	2.225	2.225	2.225
Fresno	A_G_Wi_293	200404271	2.225	2.225	2.225
Fresno	A_G_Wi_293	160404271	2.225	2.225	2.225
Fresno	A_G_Wi_293	120404271	2.225	2.225	2.225
Fresno	A_G_Wi_293	240404210	2.225	2.225	2.225
Fresno	A_G_Wi_293	200404270	2.225	2.225	2.225
Fresno	A_G_Wi_293	160404090	2.225	2.225	2.225
Fresno	A_G_Wi_293	120404100	2.225	2.225	2.225
Fresno	A_G_Wi_293	240406151	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	200406151	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	160406151	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	120406151	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	240406300	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	200406230	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	160406160	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	120406290	0.679166666666667	0.679166666666667	0.679166666666667
Fresno	A_G_Wi_293	240408111	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	200408111	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	160408111	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	120408111	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	240408090	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	200408010	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	160408080	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	120408180	4.79569892473118	4.79569892473118	4.79569892473118
Fresno	A_G_Wi_293	240410071	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	200410071	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	160410071	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	120410071	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	240410090	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	200410150	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	160410020	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	120410040	13.6868279569892	13.6868279569892	13.6868279569892
Fresno	A_G_Wi_293	240412061	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	200412061	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	160412061	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	120412061	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	240412100	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	200412070	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	160412080	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	A_G_Wi_293	120412160	1.7244623655914	1.7244623655914	1.7244623655914
Fresno	Balch__217	240402200	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	200402260	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	160402230	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	120402220	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	240402021	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	200402021	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	160402021	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	120402021	1.3132183908046	1.3132183908046	1.3132183908046
Fresno	Balch__217	240404210	19.1625	19.1625	19.1625
Fresno	Balch__217	200404270	19.1625	19.1625	19.1625
Fresno	Balch__217	160404090	19.1625	19.1625	19.1625
Fresno	Balch__217	120404100	19.1625	19.1625	19.1625
Fresno	Balch__217	240404271	19.1625	19.1625	19.1625
Fresno	Balch__217	200404271	19.1625	19.1625	19.1625
Fresno	Balch__217	160404271	19.1625	19.1625	19.1625
Fresno	Balch__217	120404271	19.1625	19.1625	19.1625
Fresno	Balch__217	200406230	11.9180555555556	11.9180555555556	11.9180555555556
Fresno	Balch__217	160406160	11.9180555555556	11.9180555555556	11.9180555555556
Fresno	Balch__217	120406290	11.9180555555556	11.9180555555556	11.9180555555556
Fresno	Balch__217	240406151	11.9180555555556	11.9180555555556	11.9180555555556
Fresno	Balch__217	200406151	11.9180555555556	11.9180555555556	11.9180555555556
Fresno	Balch__217	160406151	11.9180555555556	11.9180555555556	11.9180555555556
