ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
1602094230	2016	160402230	436	2	9
1602114021	2016	160402021	16	2	11
1602114230	2016	160402230	436	2	11
1602134021	2016	160402021	16	2	13
1602134230	2016	160402230	436	2	13
1602154021	2016	160402021	16	2	15
1602154230	2016	160402230	436	2	15
1602174021	2016	160402021	16	2	17
1602174230	2016	160402230	436	2	17
1602194021	2016	160402021	16	2	19
1602194230	2016	160402230	436	2	19
1602214021	2016	160402021	16	2	21
1602214230	2016	160402230	436	2	21
1602234021	2016	160402021	16	2	23
1602234230	2016	160402230	436	2	23
1604014090	2016	160404090	464	4	1
1604014271	2016	160404271	16	4	1
1604034090	2016	160404090	464	4	3
1604034271	2016	160404271	16	4	3
1604054090	2016	160404090	464	4	5
1604054271	2016	160404271	16	4	5
1604074090	2016	160404090	464	4	7
1604074271	2016	160404271	16	4	7
1604094090	2016	160404090	464	4	9
1604094271	2016	160404271	16	4	9
1604114090	2016	160404090	464	4	11
1604114271	2016	160404271	16	4	11
1604134090	2016	160404090	464	4	13
1604134271	2016	160404271	16	4	13
1604154090	2016	160404090	464	4	15
1604154271	2016	160404271	16	4	15
1604174090	2016	160404090	464	4	17
1604174271	2016	160404271	16	4	17
1604194090	2016	160404090	464	4	19
1604194271	2016	160404271	16	4	19
1604214090	2016	160404090	464	4	21
1604214271	2016	160404271	16	4	21
1604234090	2016	160404090	464	4	23
1604234271	2016	160404271	16	4	23
1606014151	2016	160406151	16	6	1
1606014160	2016	160406160	464	6	1
1606034151	2016	160406151	16	6	3
1606034160	2016	160406160	464	6	3
1606054151	2016	160406151	16	6	5
1606054160	2016	160406160	464	6	5
1606074151	2016	160406151	16	6	7
1606074160	2016	160406160	464	6	7
1606094151	2016	160406151	16	6	9
1606094160	2016	160406160	464	6	9
1606114151	2016	160406151	16	6	11
1606114160	2016	160406160	464	6	11
1606134151	2016	160406151	16	6	13
1606134160	2016	160406160	464	6	13
1606154151	2016	160406151	16	6	15
1606154160	2016	160406160	464	6	15
1606174151	2016	160406151	16	6	17
1606174160	2016	160406160	464	6	17
1606194151	2016	160406151	16	6	19
1606194160	2016	160406160	464	6	19
1606214151	2016	160406151	16	6	21
1606214160	2016	160406160	464	6	21
1606234151	2016	160406151	16	6	23
1606234160	2016	160406160	464	6	23
1608014080	2016	160408080	480	8	1
1608014111	2016	160408111	16	8	1
1608034080	2016	160408080	480	8	3
1608034111	2016	160408111	16	8	3
1608054080	2016	160408080	480	8	5
1608054111	2016	160408111	16	8	5
1608074080	2016	160408080	480	8	7
1608074111	2016	160408111	16	8	7
1608094080	2016	160408080	480	8	9
1608094111	2016	160408111	16	8	9
1608114080	2016	160408080	480	8	11
1608114111	2016	160408111	16	8	11
1608134080	2016	160408080	480	8	13
1608134111	2016	160408111	16	8	13
1608154080	2016	160408080	480	8	15
1608154111	2016	160408111	16	8	15
1608174080	2016	160408080	480	8	17
1608174111	2016	160408111	16	8	17
1608194080	2016	160408080	480	8	19
1608194111	2016	160408111	16	8	19
1608214080	2016	160408080	480	8	21
1608214111	2016	160408111	16	8	21
1608234080	2016	160408080	480	8	23
1608234111	2016	160408111	16	8	23
1610014020	2016	160410020	480	10	1
1610014071	2016	160410071	16	10	1
1610034020	2016	160410020	480	10	3
1610034071	2016	160410071	16	10	3
1610054020	2016	160410020	480	10	5
1610054071	2016	160410071	16	10	5
1610074020	2016	160410020	480	10	7
1610074071	2016	160410071	16	10	7
1610094020	2016	160410020	480	10	9
1610094071	2016	160410071	16	10	9
1610114020	2016	160410020	480	10	11
1610114071	2016	160410071	16	10	11
1610134020	2016	160410020	480	10	13
1610134071	2016	160410071	16	10	13
1610154020	2016	160410020	480	10	15
1610154071	2016	160410071	16	10	15
1610174020	2016	160410020	480	10	17
1610174071	2016	160410071	16	10	17
1610194020	2016	160410020	480	10	19
1610194071	2016	160410071	16	10	19
1610214020	2016	160410020	480	10	21
1610214071	2016	160410071	16	10	21
1610234020	2016	160410020	480	10	23
