ampl.tab 2 1
load_zone	hour	system_load
PG&E_North	1202094021	2075.90038274697
PG&E_South	1202094021	2285.35550920533
Sacramento	1202094021	1648.03071991541
San_Diego	1202094021	2954.00893461815
San_Francisco	1202094021	1056.07151632041
Sierra	1202094021	388.913853018364
Southwest	1202094021	0
ZP26	1202094021	1137.93521127691
Fresno	1202094220	1147.73278077951
Geysers	1202094220	328.463296264572
Humboldt	1202094220	103.218289627752
Imperial	1202094220	336.335405212093
Los_Angeles	1202094220	2774.73306769166
Northwest	1202094220	0
North_Coast	1202094220	232.179857813985
Orange	1202094220	2278.83172244159
Other_Bay_Area	1202094220	3953.84821571325
Other_SCE	1202094220	9049.56189526041
PG&E_North	1202094220	1675.71212866368
PG&E_South	1202094220	1830.59943100771
Sacramento	1202094220	1257.35563982451
San_Diego	1202094220	2383.46263622119
San_Francisco	1202094220	803.564822329644
Sierra	1202094220	337.245803268364
Southwest	1202094220	0
ZP26	1202094220	1113.19828886627
Fresno	1202114021	1417.07627749932
Geysers	1202114021	346.406892674277
Humboldt	1202114021	154.497562897582
Imperial	1202114021	410.121427031008
Los_Angeles	1202114021	3505.75354036341
Northwest	1202114021	0
North_Coast	1202114021	150.367815771519
Orange	1202114021	3701.10450279372
Other_Bay_Area	1202114021	5652.46446441479
Other_SCE	1202114021	10133.2733800341
PG&E_North	1202114021	2069.87512172952
PG&E_South	1202114021	2278.50878764831
Sacramento	1202114021	1714.69882232
San_Diego	1202114021	2945.46585193902
San_Francisco	1202114021	1069.15315231512
Sierra	1202114021	369.330019721625
Southwest	1202114021	0
ZP26	1202114021	1170.20614042227
Fresno	1202114220	1138.75851483384
Geysers	1202114220	344.446644268222
Humboldt	1202114220	105.090840846016
Imperial	1202114220	360.506688221738
Los_Angeles	1202114220	2849.8451567795
Northwest	1202114220	0
North_Coast	1202114220	163.793390180899
Orange	1202114220	2342.38391527533
Other_Bay_Area	1202114220	4161.18600147445
Other_SCE	1202114220	9261.797146162
PG&E_North	1202114220	1775.41904307459
PG&E_South	1202114220	1943.90183979024
Sacramento	1202114220	1321.35701813291
San_Diego	1202114220	2501.09431311069
San_Francisco	1202114220	844.263031850849
Sierra	1202114220	330.71783057833
Southwest	1202114220	0
ZP26	1202114220	1158.65394055921
Fresno	1202134021	1367.94776302643
Geysers	1202134021	332.082202239965
Humboldt	1202134021	150.176275639064
Imperial	1202134021	403.760563081102
Los_Angeles	1202134021	3506.81145711112
Northwest	1202134021	0
North_Coast	1202134021	135.823450607811
Orange	1202134021	3748.94601371285
Other_Bay_Area	1202134021	5401.70753597332
Other_SCE	1202134021	10122.5869426108
PG&E_North	1202134021	1919.89363687005
PG&E_South	1202134021	2108.07643190218
Sacramento	1202134021	1616.03003076121
San_Diego	1202134021	2878.17271101156
San_Francisco	1202134021	1036.04540852876
Sierra	1202134021	394.19180010875
Southwest	1202134021	0
ZP26	1202134021	1233.36693403176
Fresno	1202134220	1104.12695632604
Geysers	1202134220	339.31992215815
Humboldt	1202134220	102.498075084666
Imperial	1202134220	346.512787531943
Los_Angeles	1202134220	2804.35473662771
Northwest	1202134220	0
North_Coast	1202134220	147.850517902339
Orange	1202134220	2254.60683977573
Other_Bay_Area	1202134220	4150.29959769936
Other_SCE	1202134220	9217.67826726714
PG&E_North	1202134220	1700.71973827422
PG&E_South	1202134220	1859.01699360078
Sacramento	1202134220	1280.02279464207
San_Diego	1202134220	2602.82258466129
San_Francisco	1202134220	844.263031850849
Sierra	1202134220	307.522779248523
Southwest	1202134220	0
ZP26	1202134220	1190.67379490459
Fresno	1202154021	1390.26843622048
